
TracePro Release: 3 2 0 
Polar Candela Distribution Data for C:\Users\user\Desktop\NTHU\MasterThesis\GA\SGM_GA\file\completion_signal.OML
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 11:02:20 May 27, 2025

	   0.0	 180.0
0.000	             0	             0	
10.000	             0	       6567.22	
20.000	             0	             0	
30.000	             0	             0	
40.000	             0	             0	
50.000	             0	             0	
60.000	             0	             0	
70.000	             0	             0	
80.000	             0	             0	
90.000	             0	             0	
100.000	             0	             0	
110.000	             0	             0	
120.000	             0	             0	
130.000	             0	             0	
140.000	             0	             0	
150.000	             0	             0	
160.000	             0	             0	
170.000	             0	             0	
180.000	             0	             0	
