
TracePro Release: 3 2 0 
Polar Candela Distribution Data for C:\Users\cchih\Desktop\NTHU\MasterThesis\GA\SGM_GA\Macro\completion_signal.OML
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 13:07:51 June 22, 2025

	   0.0	 180.0
0.000	    0.00333142	    0.00333142	
0.500	    0.00340024	    0.00325481	
1.000	    0.00340024	    0.00325481	
1.500	    0.00346229	    0.00316918	
2.000	    0.00351843	    0.00307307	
2.500	    0.00356939	    0.00296469	
3.000	    0.00356939	    0.00296469	
3.500	    0.00361579	    0.00284186	
4.000	    0.00365815	     0.0027019	
4.500	    0.00365815	     0.0027019	
5.000	    0.00369693	    0.00254145	
5.500	    0.00373252	    0.00235633	
6.000	    0.00376527	    0.00214118	
6.500	    0.00376527	    0.00214118	
7.000	    0.00379546	    0.00188917	
7.500	    0.00382336	    0.00159134	
8.000	    0.00382336	    0.00159134	
8.500	    0.00384919	    0.00123587	
9.000	    0.00387316	   0.000806889	
9.500	    0.00389543	   0.000282602	
10.000	    0.00389543	   0.000282602	
10.500	    0.00391616	    0.00036747	
11.000	     0.0039355	    0.00118706	
11.500	     0.0039355	    0.00118706	
12.000	    0.00395356	    0.00224069	
12.500	    0.00397046	    0.00362686	
13.000	    0.00397046	    0.00362686	
13.500	    0.00398629	     0.0055019	
14.000	    0.00400113	    0.00812627	
14.500	    0.00401508	     0.0119604	
15.000	    0.00401508	     0.0119604	
15.500	     0.0040282	     0.0178826	
16.000	    0.00404055	      0.027744	
16.500	    0.00404055	      0.027744	
17.000	     0.0040522	     0.0460291	
17.500	     0.0040632	     0.0861292	
18.000	    0.00407358	      0.205494	
18.500	    0.00407358	      0.205494	
19.000	    0.00408341	       1.08095	
19.500	    0.00409271	       11.0833	
20.000	    0.00409271	       11.0833	
20.500	    0.00410153	       1.08095	
21.000	    0.00410989	      0.205494	
21.500	    0.00411784	     0.0861292	
22.000	    0.00411784	     0.0861292	
22.500	    0.00412538	     0.0460291	
23.000	    0.00413256	      0.027744	
23.500	    0.00413256	      0.027744	
24.000	     0.0041394	     0.0178826	
24.500	    0.00414591	     0.0119604	
25.000	    0.00415211	    0.00812627	
25.500	    0.00415211	    0.00812627	
26.000	    0.00415804	     0.0055019	
26.500	    0.00416369	    0.00362686	
27.000	    0.00416369	    0.00362686	
27.500	    0.00416909	    0.00224069	
28.000	    0.00417426	    0.00118706	
28.500	     0.0041792	    0.00036747	
29.000	     0.0041792	    0.00036747	
29.500	    0.00418393	   0.000282602	
30.000	    0.00418846	   0.000806889	
30.500	    0.00418846	   0.000806889	
31.000	    0.00419281	    0.00123587	
31.500	    0.00419697	    0.00159134	
32.000	    0.00420097	    0.00188917	
32.500	    0.00420097	    0.00188917	
33.000	     0.0042048	    0.00214118	
33.500	    0.00420849	    0.00235633	
34.000	    0.00420849	    0.00235633	
34.500	    0.00421203	    0.00254145	
35.000	    0.00421544	     0.0027019	
35.500	    0.00421544	     0.0027019	
36.000	    0.00421872	    0.00284186	
36.500	    0.00422187	    0.00296469	
37.000	    0.00422491	    0.00307307	
37.500	    0.00422491	    0.00307307	
38.000	    0.00422784	    0.00316918	
38.500	    0.00423066	    0.00325481	
39.000	    0.00423066	    0.00325481	
39.500	    0.00423338	    0.00333142	
40.000	      0.004236	    0.00340024	
40.500	    0.00423854	    0.00346229	
41.000	    0.00423854	    0.00346229	
41.500	    0.00424098	    0.00351843	
42.000	    0.00424334	    0.00356939	
42.500	    0.00424334	    0.00356939	
43.000	    0.00424563	    0.00361579	
43.500	    0.00424783	    0.00365815	
44.000	    0.00424996	    0.00369693	
44.500	    0.00424996	    0.00369693	
45.000	    0.00425203	    0.00373252	
45.500	    0.00425402	    0.00376527	
46.000	    0.00425402	    0.00376527	
46.500	    0.00425595	    0.00379546	
47.000	    0.00425782	    0.00382336	
47.500	    0.00425963	    0.00384919	
48.000	    0.00425963	    0.00384919	
48.500	    0.00426139	    0.00387316	
49.000	    0.00426309	    0.00389543	
49.500	    0.00426309	    0.00389543	
50.000	    0.00426474	    0.00391616	
50.500	    0.00426634	     0.0039355	
51.000	    0.00426789	    0.00395356	
51.500	    0.00426789	    0.00395356	
52.000	    0.00426939	    0.00397046	
