
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 15:10:47 September 06, 2025

	   0.0	 180.0
0.000	        1.4057	        1.4057	
0.321	        1.4057	        1.4057	
0.643	      0.108212	             0	
0.964	      0.108212	             0	
1.286	             0	             0	
1.607	             0	             0	
1.929	             0	      0.119136	
2.250	             0	      0.119136	
2.571	             0	             0	
2.893	             0	             0	
3.214	      0.118463	             0	
3.536	      0.118463	             0	
3.857	      0.118463	             0	
4.179	             0	     0.0591721	
4.500	             0	     0.0591721	
4.821	             0	             0	
5.143	             0	             0	
5.464	     0.0557123	      0.115151	
5.786	     0.0557123	      0.115151	
6.107	      0.118323	      0.348923	
6.429	      0.118323	      0.348923	
6.750	     0.0498763	      0.118736	
7.071	     0.0498763	      0.118736	
7.393	       0.21058	      0.118708	
7.714	       0.21058	      0.118708	
8.036	       0.21058	      0.118708	
8.357	             0	      0.173271	
8.679	             0	      0.173271	
9.000	             0	      0.117644	
9.321	             0	      0.117644	
9.643	     0.0595654	             0	
9.964	     0.0595654	             0	
10.286	             0	             0	
10.607	             0	             0	
10.929	     0.0537229	             0	
11.250	     0.0537229	             0	
11.571	     0.0537229	             0	
11.893	      0.104017	     0.0586824	
12.214	      0.104017	     0.0586824	
12.536	             0	             0	
12.857	             0	             0	
13.179	      0.104192	       0.83583	
13.500	      0.104192	       0.83583	
13.821	     0.0521092	      0.115458	
14.143	     0.0521092	      0.115458	
14.464	             0	     0.0612091	
14.786	             0	     0.0612091	
15.107	             0	     0.0612091	
15.429	     0.0526355	        0.1224	
15.750	     0.0526355	        0.1224	
16.071	     0.0529439	             0	
16.393	     0.0529439	             0	
16.714	      0.107971	             0	
17.036	      0.107971	             0	
17.357	     0.0542545	             0	
17.679	     0.0542545	             0	
18.000	             0	             0	
18.321	             0	             0	
18.643	      0.168028	             0	
18.964	      0.168028	             0	
19.286	      0.168028	             0	
19.607	      0.211599	     0.0574529	
19.929	      0.211599	     0.0574529	
20.250	     0.0538069	             0	
20.571	     0.0538069	             0	
20.893	      0.114467	     0.0521599	
21.214	      0.114467	     0.0521599	
21.536	             0	      0.350974	
21.857	             0	      0.350974	
22.179	             0	     0.0520334	
22.500	             0	     0.0520334	
22.821	             0	     0.0520334	
23.143	     0.0576501	             0	
23.464	     0.0576501	             0	
23.786	      0.161523	             0	
24.107	      0.161523	             0	
24.429	      0.117463	             0	
24.750	      0.117463	             0	
25.071	      0.105237	             0	
25.393	      0.105237	             0	
25.714	     0.0573129	             0	
26.036	     0.0573129	             0	
26.357	     0.0573129	             0	
26.679	             0	             0	
27.000	             0	             0	
27.321	     0.0585587	             0	
27.643	     0.0585587	             0	
27.964	             0	      0.109307	
28.286	             0	      0.109307	
28.607	             0	             0	
28.929	             0	             0	
29.250	             0	             0	
29.571	             0	             0	
29.893	      0.116862	             0	
30.214	      0.116862	             0	
30.536	      0.116862	             0	
30.857	             0	             0	
31.179	             0	             0	
31.500	     0.0582633	      0.104014	
31.821	     0.0582633	      0.104014	
32.143	             0	             0	
32.464	             0	             0	
32.786	      0.061569	             0	
33.107	      0.061569	             0	
