
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 09:47:55 June 25, 2025

	   0.0	 180.0
0.000	      0.307527	      0.307527	
0.500	      0.307501	      0.307552	
1.000	      0.307501	      0.307552	
1.500	      0.307475	      0.307577	
2.000	      0.307448	      0.307601	
2.500	       0.30742	      0.307625	
3.000	       0.30742	      0.307625	
3.500	      0.307392	      0.307648	
4.000	      0.307363	      0.307671	
4.500	      0.307363	      0.307671	
5.000	      0.307334	      0.307693	
5.500	      0.307304	      0.307715	
6.000	      0.307273	      0.307736	
6.500	      0.307273	      0.307736	
7.000	      0.307242	      0.307757	
7.500	       0.30721	      0.307778	
8.000	       0.30721	      0.307778	
8.500	      0.307177	      0.307798	
9.000	      0.307143	      0.307817	
9.500	      0.307109	      0.307836	
10.000	      0.307109	      0.307836	
10.500	      0.307074	      0.307855	
11.000	      0.307038	      0.307873	
11.500	      0.307038	      0.307873	
12.000	      0.307001	      0.307891	
12.500	      0.306963	      0.307909	
13.000	      0.306963	      0.307909	
13.500	      0.306925	      0.307926	
14.000	      0.306885	      0.307943	
14.500	      0.306845	       0.30796	
15.000	      0.306845	       0.30796	
15.500	      0.306804	      0.307976	
16.000	      0.306761	      0.307992	
16.500	      0.306761	      0.307992	
17.000	      0.306718	      0.308007	
17.500	      0.306674	      0.308022	
18.000	      0.306628	      0.308037	
18.500	      0.306628	      0.308037	
19.000	      0.306582	      0.308051	
19.500	      0.306534	      0.308066	
20.000	      0.306534	      0.308066	
20.500	      0.306486	      0.308079	
21.000	      0.306436	      0.308093	
21.500	      0.306385	      0.308106	
22.000	      0.306385	      0.308106	
22.500	      0.306332	      0.308119	
23.000	      0.306278	      0.308132	
23.500	      0.306278	      0.308132	
24.000	      0.306223	      0.308144	
24.500	      0.306167	      0.308156	
25.000	      0.306109	      0.308168	
25.500	      0.306109	      0.308168	
26.000	      0.306049	       0.30818	
26.500	      0.305988	      0.308191	
27.000	      0.305988	      0.308191	
27.500	      0.305926	      0.308202	
28.000	      0.305862	      0.308213	
28.500	      0.305796	      0.308223	
29.000	      0.305796	      0.308223	
29.500	      0.305728	      0.308234	
30.000	      0.305659	      0.308244	
30.500	      0.305659	      0.308244	
31.000	      0.305587	      0.308254	
31.500	      0.305514	      0.308263	
32.000	      0.305439	      0.308272	
32.500	      0.305439	      0.308272	
33.000	      0.305361	      0.308281	
33.500	      0.305282	       0.30829	
34.000	      0.305282	       0.30829	
34.500	        0.3052	      0.308299	
35.000	      0.305116	      0.308307	
35.500	      0.305116	      0.308307	
36.000	       0.30503	      0.308316	
36.500	      0.304941	      0.308324	
37.000	      0.304849	      0.308331	
37.500	      0.304849	      0.308331	
38.000	      0.304755	      0.308339	
38.500	      0.304658	      0.308346	
39.000	      0.304658	      0.308346	
39.500	      0.304558	      0.308353	
40.000	      0.304455	       0.30836	
40.500	      0.304349	      0.308367	
41.000	      0.304349	      0.308367	
41.500	      0.304239	      0.308374	
42.000	      0.304126	       0.30838	
42.500	      0.304126	       0.30838	
43.000	       0.30401	      0.308386	
43.500	       0.30389	      0.308392	
44.000	      0.303766	      0.308398	
44.500	      0.303766	      0.308398	
45.000	      0.303638	      0.308403	
45.500	      0.303506	      0.308409	
46.000	      0.303506	      0.308409	
46.500	       0.30337	      0.308414	
47.000	      0.303229	      0.308419	
47.500	      0.303084	      0.308424	
48.000	      0.303084	      0.308424	
48.500	      0.302933	      0.308428	
49.000	      0.302777	      0.308433	
49.500	      0.302777	      0.308433	
50.000	      0.302616	      0.308437	
50.500	      0.302449	      0.308441	
51.000	      0.302276	      0.308445	
51.500	      0.302276	      0.308445	
52.000	      0.302097	      0.308449	
52.500	      0.301912	      0.308452	
53.000	      0.301912	      0.308452	
