
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 20:44:57 June 20, 2025

	   0.0	 180.0
0.000	    0.00232019	    0.00232019	
3.000	   0.000136627	    0.00818047	
6.000	   0.000131715	     0.0067533	
9.000	   0.000131715	    0.00696903	
12.000	   0.000131715	    0.00908553	
15.000	   0.000131571	     0.0226933	
18.000	    0.00303785	    0.00391327	
21.000	     0.0334647	    0.00516859	
24.000	    0.00485116	      0.660122	
27.000	     0.0310148	      0.660122	
30.000	    0.00169183	   0.000559438	
33.000	     0.0062778	   0.000131698	
36.000	     0.0921985	   0.000131712	
39.000	     0.0853854	   0.000131714	
42.000	     0.0587045	   0.000131715	
45.000	      0.114293	   0.000131716	
48.000	    0.00723337	   0.000131716	
51.000	      0.103987	   0.000131716	
54.000	     0.0591003	   0.000131717	
57.000	     0.0191426	   0.000131717	
60.000	     0.0971082	   0.000131717	
63.000	      0.191287	   0.000131717	
66.000	      0.157686	   0.000131717	
69.000	      0.110994	   0.000131717	
72.000	      0.176394	   0.000131717	
75.000	      0.292521	   0.000131717	
78.000	      0.412432	   0.000131717	
81.000	      0.609669	   0.000131717	
84.000	      0.860529	   0.000131717	
87.000	      0.954128	   0.000131717	
90.000	       1.15171	   0.000131717	
93.000	       1.27131	   0.000131717	
96.000	       2.00516	   0.000131717	
99.000	       1.99723	   0.000131717	
102.000	       2.20448	   0.000131717	
105.000	       4.54046	   0.000131717	
108.000	       4.14299	   0.000131717	
111.000	       7.14715	   0.000131717	
114.000	       49.5749	   0.000131717	
117.000	       4.27196	   0.000131717	
120.000	    0.00473199	   0.000131717	
123.000	   0.000121027	   0.000131717	
126.000	   0.000131546	   0.000131717	
129.000	   0.000131595	   0.000131717	
132.000	   0.000131632	   0.000131716	
135.000	   0.000131652	   0.000131716	
138.000	   0.000131666	   0.000131716	
141.000	   0.000131678	   0.000131716	
144.000	   0.000131685	   0.000131716	
147.000	    0.00013169	   0.000131716	
150.000	   0.000131694	   0.000131716	
153.000	   0.000131698	   0.000131715	
156.000	   0.000131701	   0.000131715	
159.000	   0.000131703	   0.000131715	
162.000	   0.000131705	   0.000131714	
165.000	   0.000131707	   0.000131714	
168.000	   0.000131708	   0.000131714	
171.000	   0.000131709	   0.000131713	
174.000	    0.00013171	   0.000131713	
177.000	   0.000131711	   0.000131712	
180.000	   0.000131712	   0.000131712	
