
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 12:22:15 June 20, 2025

	   0.0	 180.0
0.000	   0.000128887	   0.000128887	
3.000	   0.000128884	   0.000128869	
6.000	   0.000128881	   0.000553948	
9.000	   0.000157516	    0.00500407	
12.000	    0.00389661	   0.000553951	
15.000	     0.0038966	   0.000129178	
18.000	   0.000124895	  9.26031e-005	
21.000	   0.000128819	    0.00464556	
24.000	   0.000101551	    0.00464556	
27.000	     0.0120941	   9.2605e-005	
30.000	     0.0324116	     0.0001289	
33.000	        2.8283	     0.0001289	
36.000	       32.4311	     0.0001289	
39.000	       2.82771	   0.000128901	
42.000	  1.16282e-005	   0.000128901	
45.000	   0.000128404	   0.000128901	
48.000	    0.00195271	   0.000128902	
51.000	      0.363178	   0.000128902	
54.000	       0.12134	   0.000128902	
57.000	      0.859806	   0.000128902	
60.000	       1.66889	   0.000128902	
63.000	       2.08065	   0.000128903	
66.000	       1.92766	   0.000128903	
69.000	       2.25329	   0.000128903	
72.000	       3.12889	   0.000128903	
75.000	       3.02277	   0.000128903	
78.000	       2.57756	   0.000128903	
81.000	        2.0871	   0.000128903	
84.000	       1.61111	   0.000128903	
87.000	       5.22102	   0.000128903	
90.000	       15.0721	   0.000128903	
93.000	      0.798578	   0.000128903	
96.000	      0.110508	   0.000128903	
99.000	     0.0538496	   0.000128904	
102.000	      0.200583	   0.000128904	
105.000	     0.0105574	   0.000128904	
108.000	     0.0544887	   0.000128904	
111.000	      0.025771	   0.000128904	
114.000	    0.00968594	   0.000128904	
117.000	    0.00533431	   0.000128904	
120.000	   0.000133176	   0.000128904	
123.000	   0.000128893	   0.000128904	
126.000	   0.000128895	   0.000128904	
129.000	   0.000128896	   0.000128904	
132.000	   0.000128897	   0.000128904	
135.000	   0.000128898	   0.000128904	
138.000	   0.000128899	   0.000128904	
141.000	   0.000128899	   0.000128904	
144.000	     0.0001289	   0.000128904	
147.000	     0.0001289	   0.000128904	
150.000	   0.000128901	   0.000128904	
153.000	   0.000128901	   0.000128904	
156.000	   0.000128901	   0.000128903	
159.000	   0.000128902	   0.000128903	
162.000	   0.000128902	   0.000128903	
165.000	   0.000128902	   0.000128903	
168.000	   0.000128902	   0.000128903	
171.000	   0.000128902	   0.000128903	
174.000	   0.000128903	   0.000128903	
177.000	   0.000128903	   0.000128903	
180.000	   0.000128903	   0.000128903	
