
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 12:32:28 June 20, 2025

	   0.0	 180.0
0.000	      0.215431	      0.215431	
3.000	      0.151385	       1.40266	
6.000	      0.643844	       2.10877	
9.000	       0.61469	       2.31697	
12.000	       1.07382	        4.4298	
15.000	       1.24246	       6.57102	
18.000	       1.48575	       5.58021	
21.000	       1.59144	      0.912227	
24.000	       1.06369	      0.301912	
27.000	      0.637939	      0.169612	
30.000	      0.547391	      0.295514	
33.000	      0.291998	       2.63677	
36.000	     0.0325328	      0.736806	
39.000	   0.000176071	       0.23892	
42.000	  1.84303e-005	     0.0316383	
45.000	  1.84307e-005	      0.109501	
48.000	  1.84307e-005	     0.0595947	
51.000	  1.84307e-005	     0.0685643	
54.000	  1.84307e-005	     0.0611443	
57.000	  1.84307e-005	     0.0682341	
60.000	  1.84307e-005	     0.0730448	
63.000	  1.84307e-005	     0.0557867	
66.000	  1.84307e-005	     0.0497437	
69.000	   2.5189e-006	     0.0889343	
72.000	     0.0266225	      0.057563	
75.000	      0.509356	     0.0561059	
78.000	      0.428301	     0.0754764	
81.000	      0.509596	     0.0249459	
84.000	       0.69387	     0.0216107	
87.000	      0.280026	     0.0154764	
90.000	      0.233457	   0.000378668	
93.000	      0.307029	  1.82051e-005	
96.000	      0.485206	  1.84313e-005	
99.000	      0.588139	  1.84313e-005	
102.000	       1.04925	  1.84313e-005	
105.000	      0.930216	  1.84313e-005	
108.000	       3.70836	  1.84313e-005	
111.000	       5.21437	  1.84313e-005	
114.000	       6.46521	  1.84313e-005	
117.000	       4.30534	  1.84313e-005	
120.000	       3.47992	  1.84313e-005	
123.000	       2.70766	  1.84313e-005	
126.000	     0.0367102	  1.84313e-005	
129.000	   0.000166489	  1.84313e-005	
132.000	  1.84111e-005	  1.84313e-005	
135.000	  1.84179e-005	  1.84312e-005	
138.000	  1.84215e-005	  1.84312e-005	
141.000	  1.84244e-005	  1.84312e-005	
144.000	  1.84259e-005	  1.84312e-005	
147.000	   1.8427e-005	  1.84312e-005	
150.000	  1.84279e-005	  1.84312e-005	
153.000	  1.84286e-005	  1.84311e-005	
156.000	  1.84291e-005	  1.84311e-005	
159.000	  1.84294e-005	  1.84311e-005	
162.000	  1.84297e-005	   1.8431e-005	
165.000	    1.843e-005	   1.8431e-005	
168.000	  1.84302e-005	   1.8431e-005	
171.000	  1.84303e-005	  1.84309e-005	
174.000	  1.84305e-005	  1.84308e-005	
177.000	  1.84306e-005	  1.84308e-005	
180.000	  1.84307e-005	  1.84307e-005	
