S1,S2,A1,fitness,generation
701,486,154,0.0,1
469,779,110,0.28802289369876893,1
870,855,137,0.029781184580619964,1
859,577,95,0.18483636556886293,1
763,964,100,0.2366792954145448,1
751,628,104,0.15499419202572776,1
919,801,70,0.27718060993228805,1
917,829,150,0.0,1
826,442,5,0.0,1
982,491,51,0.1284805437681001,1
469,779,110,0.28802289369876893,2
763,964,100,0.2366792954145448,2
859,577,95,0.18483636556886293,2
751,577,104,0.08574349599234339,2
859,577,95,0.18483636556886293,2
751,628,104,0.15499419202572776,2
763,964,100,0.2366792954145448,2
859,577,95,0.18483636556886293,2
859,577,95,0.18483636556886293,2
919,801,70,0.27718060993228805,2
469,779,110,0.28802289369876893,3
919,801,70,0.27718060993228805,3
763,779,100,0.17387082525987252,3
919,801,70,0.27718060993228805,3
763,964,100,0.2366792954145448,3
859,577,95,0.18483636556886293,3
469,779,110,0.28802289369876893,3
469,801,110,0.2418009107059844,3
919,801,70,0.27718060993228805,3
859,779,95,0.18211701186696952,3
