
TracePro Release: 3 2 2 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 17:26:02 November 12, 2025

	   0.0	 180.0
0.000	       1.52955	       1.52955	
0.321	       1.52955	       1.52955	
0.643	      0.919126	             0	
0.964	      0.919126	             0	
1.286	      0.274206	       8.14169	
1.607	      0.274206	       8.14169	
1.929	      0.588617	       2.71802	
2.250	      0.588617	       2.71802	
2.571	       5.54798	       1.91747	
2.893	       5.54798	       1.91747	
3.214	       10.8977	      0.643099	
3.536	       10.8977	      0.643099	
3.857	       10.8977	      0.643099	
4.179	       8.51084	       2.12029	
4.500	       8.51084	       2.12029	
4.821	       17.4329	       13.0661	
5.143	       17.4329	       13.0661	
5.464	       5.53894	       4.28215	
5.786	       5.53894	       4.28215	
6.107	        4.9161	       11.8614	
6.429	        4.9161	       11.8614	
6.750	       5.98094	       7.63511	
7.071	       5.98094	       7.63511	
7.393	       8.25596	       19.5384	
7.714	       8.25596	       19.5384	
8.036	       8.25596	       19.5384	
8.357	       3.31878	       9.05362	
8.679	       3.31878	       9.05362	
9.000	       8.71893	       33.0143	
9.321	       8.71893	       33.0143	
9.643	        2.5021	        119.18	
9.964	        2.5021	        119.18	
10.286	       10.5395	       13.2171	
10.607	       10.5395	       13.2171	
10.929	       5.01792	       9.96936	
11.250	       5.01792	       9.96936	
11.571	       5.01792	       9.96936	
11.893	       10.8617	       5.99242	
12.214	       10.8617	       5.99242	
12.536	       12.5971	       11.9587	
12.857	       12.5971	       11.9587	
13.179	       5.99192	       14.0384	
13.500	       5.99192	       14.0384	
13.821	       7.21758	       9.46998	
14.143	       7.21758	       9.46998	
14.464	       5.68735	       9.85287	
14.786	       5.68735	       9.85287	
15.107	       5.68735	       9.85287	
15.429	       6.41714	       8.51033	
15.750	       6.41714	       8.51033	
16.071	       5.51512	       13.2986	
16.393	       5.51512	       13.2986	
16.714	       16.3609	       14.1606	
17.036	       16.3609	       14.1606	
17.357	       2.88313	       4.94768	
17.679	       2.88313	       4.94768	
18.000	       5.67921	       3.89332	
18.321	       5.67921	       3.89332	
18.643	       1.34061	       10.2316	
18.964	       1.34061	       10.2316	
19.286	       1.34061	       10.2316	
19.607	       12.8029	       12.5214	
19.929	       12.8029	       12.5214	
20.250	       3.86171	       10.1832	
20.571	       3.86171	       10.1832	
20.893	       4.89921	       1.54878	
21.214	       4.89921	       1.54878	
21.536	        6.3542	       1.99611	
21.857	        6.3542	       1.99611	
22.179	       11.9363	       2.20183	
22.500	       11.9363	       2.20183	
22.821	       11.9363	       2.20183	
23.143	       6.21812	       1.85076	
23.464	       6.21812	       1.85076	
23.786	       5.60835	        1.5824	
24.107	       5.60835	        1.5824	
24.429	       4.74683	       3.26384	
24.750	       4.74683	       3.26384	
25.071	       6.40687	      0.102527	
25.393	       6.40687	      0.102527	
25.714	       3.29554	       1.72426	
26.036	       3.29554	       1.72426	
26.357	       3.29554	       1.72426	
26.679	       5.10536	        3.4612	
27.000	       5.10536	        3.4612	
27.321	       4.18955	       1.03744	
27.643	       4.18955	       1.03744	
27.964	       5.71275	       6.76375	
28.286	       5.71275	       6.76375	
28.607	       1.69614	       2.32297	
28.929	       1.69614	       2.32297	
29.250	       6.95918	       2.70483	
29.571	       6.95918	       2.70483	
29.893	       6.76741	       1.56019	
30.214	       6.76741	       1.56019	
30.536	       6.76741	       1.56019	
30.857	       5.55073	       5.80748	
31.179	       5.55073	       5.80748	
31.500	       5.27501	      0.867017	
31.821	       5.27501	      0.867017	
32.143	       4.02322	       2.47358	
32.464	       4.02322	       2.47358	
32.786	       3.81856	      0.360181	
33.107	       3.81856	      0.360181	
33.429	       8.03141	        8.5168	
33.750	       8.03141	        8.5168	
34.071	       8.03141	        8.5168	
34.393	       3.27216	       7.32558	
34.714	       3.27216	       7.32558	
35.036	       3.47597	       4.84194	
35.357	       3.47597	       4.84194	
35.679	       2.64733	       10.4274	
36.000	       2.64733	       10.4274	
36.321	       2.50536	       4.81354	
36.643	       2.50536	       4.81354	
36.964	       2.36505	       7.90835	
37.286	       2.36505	       7.90835	
37.607	       2.36505	       7.90835	
37.929	       5.47913	       2.53096	
38.250	       5.47913	       2.53096	
38.571	       4.77663	       1.15612	
38.893	       4.77663	       1.15612	
39.214	       5.53565	       2.60437	
39.536	       5.53565	       2.60437	
39.857	        2.4993	       2.75088	
40.179	        2.4993	       2.75088	
40.500	       4.06795	       1.17101	
40.821	       4.06795	       1.17101	
41.143	        2.5676	        3.5879	
41.464	        2.5676	        3.5879	
41.786	        2.5676	        3.5879	
42.107	       3.99726	       1.85355	
42.429	       3.99726	       1.85355	
42.750	      0.896962	       2.34463	
43.071	      0.896962	       2.34463	
43.393	       3.19537	      0.649532	
43.714	       3.19537	      0.649532	
44.036	      0.711315	      0.227077	
44.357	      0.711315	      0.227077	
44.679	       2.05128	      0.645796	
45.000	       2.05128	      0.645796	
45.321	       2.05128	      0.645796	
45.643	       2.73606	      0.216084	
45.964	       2.73606	      0.216084	
46.286	       2.15446	      0.259087	
46.607	       2.15446	      0.259087	
46.929	       4.11967	      0.576545	
47.250	       4.11967	      0.576545	
47.571	       2.64124	      0.714156	
47.893	       2.64124	      0.714156	
48.214	      0.817343	       1.36131	
48.536	      0.817343	       1.36131	
48.857	      0.817343	       1.36131	
49.179	       1.93326	      0.331908	
49.500	       1.93326	      0.331908	
49.821	      0.199163	      0.456123	
50.143	      0.199163	      0.456123	
50.464	       2.10973	             0	
50.786	       2.10973	             0	
51.107	       2.75022	             0	
51.429	       2.75022	             0	
51.750	       1.59809	             0	
52.071	       1.59809	             0	
52.393	       4.20702	      0.156678	
52.714	       4.20702	      0.156678	
53.036	       4.20702	      0.156678	
53.357	       2.14349	      0.108485	
53.679	       2.14349	      0.108485	
54.000	      0.106915	             0	
54.321	      0.106915	             0	
54.643	       5.18934	             0	
54.964	       5.18934	             0	
55.286	       1.32061	             0	
55.607	       1.32061	             0	
55.929	       1.18002	             0	
56.250	       1.18002	             0	
56.571	       1.18002	             0	
56.893	       3.65362	             0	
57.214	       3.65362	             0	
57.536	             0	       0.20925	
57.857	             0	       0.20925	
58.179	     0.0663098	             0	
58.500	     0.0663098	             0	
58.821	       2.23839	      0.116491	
59.143	       2.23839	      0.116491	
59.464	      0.205573	             0	
59.786	      0.205573	             0	
60.107	      0.205573	             0	
60.429	        2.3947	             0	
60.750	        2.3947	             0	
61.071	       0.98366	             0	
61.393	       0.98366	             0	
61.714	       1.23509	      0.103074	
62.036	       1.23509	      0.103074	
62.357	       1.48216	             0	
62.679	       1.48216	             0	
63.000	      0.860527	             0	
63.321	      0.860527	             0	
63.643	       2.77431	             0	
63.964	       2.77431	             0	
64.286	       2.77431	             0	
64.607	             0	             0	
64.929	             0	             0	
65.250	             0	             0	
65.571	             0	             0	
65.893	       1.27609	             0	
66.214	       1.27609	             0	
66.536	             0	             0	
66.857	             0	             0	
67.179	       1.30762	             0	
67.500	       1.30762	             0	
67.821	       1.30762	             0	
68.143	      0.107943	             0	
68.464	      0.107943	             0	
68.786	      0.860903	     0.0521196	
69.107	      0.860903	     0.0521196	
69.429	             0	             0	
69.750	             0	             0	
70.071	       1.59431	             0	
70.393	       1.59431	             0	
70.714	       1.99058	             0	
71.036	       1.99058	             0	
71.357	       1.99058	             0	
71.679	       3.58163	             0	
72.000	       3.58163	             0	
72.321	       0.91765	             0	
72.643	       0.91765	             0	
72.964	      0.923441	             0	
73.286	      0.923441	             0	
73.607	      0.787899	             0	
73.929	      0.787899	             0	
74.250	             0	       0.11571	
74.571	             0	       0.11571	
74.893	        2.1526	             0	
75.214	        2.1526	             0	
75.536	        2.1526	             0	
75.857	      0.606007	             0	
76.179	      0.606007	             0	
76.500	       2.00707	             0	
76.821	       2.00707	             0	
77.143	      0.856855	             0	
77.464	      0.856855	             0	
77.786	       1.35179	             0	
78.107	       1.35179	             0	
78.429	       1.40979	             0	
78.750	       1.40979	             0	
79.071	       1.40979	             0	
79.393	             0	             0	
79.714	             0	             0	
80.036	             0	             0	
80.357	             0	             0	
80.679	      0.767923	             0	
81.000	      0.767923	             0	
81.321	       0.78874	             0	
81.643	       0.78874	             0	
81.964	       2.58589	             0	
82.286	       2.58589	             0	
82.607	       2.58589	             0	
82.929	       3.26563	             0	
83.250	       3.26563	             0	
83.571	         1.964	             0	
83.893	         1.964	             0	
84.214	      0.849383	             0	
84.536	      0.849383	             0	
84.857	      0.853359	             0	
85.179	      0.853359	             0	
85.500	       2.59334	             0	
85.821	       2.59334	             0	
86.143	       5.51606	             0	
86.464	       5.51606	             0	
86.786	       5.51606	             0	
87.107	       5.32393	             0	
87.429	       5.32393	             0	
87.750	      0.896969	             0	
88.071	      0.896969	             0	
88.393	      0.957608	             0	
88.714	      0.957608	             0	
89.036	       3.92661	             0	
89.357	       3.92661	             0	
89.679	       4.37657	             0	
90.000	       4.37657	             0	
90.321	       4.37657	             0	
90.643	       9.25634	             0	
90.964	       9.25634	             0	
91.286	       3.72455	             0	
91.607	       3.72455	             0	
91.929	       6.16568	             0	
92.250	       6.16568	             0	
92.571	       5.63888	             0	
92.893	       5.63888	             0	
93.214	       3.77514	             0	
93.536	       3.77514	             0	
93.857	       3.77514	             0	
94.179	       5.95548	             0	
94.500	       5.95548	             0	
94.821	       9.98681	             0	
95.143	       9.98681	             0	
95.464	       2.86226	             0	
95.786	       2.86226	             0	
96.107	       4.91367	             0	
96.429	       4.91367	             0	
96.750	       4.99136	             0	
97.071	       4.99136	             0	
97.393	       4.44827	             0	
97.714	       4.44827	             0	
98.036	       4.44827	             0	
98.357	       10.9179	             0	
98.679	       10.9179	             0	
99.000	       1.90578	             0	
99.321	       1.90578	             0	
99.643	       2.48001	             0	
99.964	       2.48001	             0	
100.286	       2.73633	             0	
100.607	       2.73633	             0	
100.929	       2.45221	             0	
101.250	       2.45221	             0	
101.571	       2.45221	             0	
101.893	       4.23958	             0	
102.214	       4.23958	             0	
102.536	       2.23993	             0	
102.857	       2.23993	             0	
103.179	       1.95676	             0	
103.500	       1.95676	             0	
103.821	       1.34285	             0	
104.143	       1.34285	             0	
104.464	       1.54318	             0	
104.786	       1.54318	             0	
105.107	       1.54318	             0	
105.429	       2.49241	             0	
105.750	       2.49241	             0	
106.071	      0.988605	             0	
106.393	      0.988605	             0	
106.714	      0.608886	             0	
107.036	      0.608886	             0	
107.357	      0.777178	             0	
107.679	      0.777178	             0	
108.000	      0.564609	             0	
108.321	      0.564609	             0	
108.643	             0	             0	
108.964	             0	             0	
109.286	             0	             0	
109.607	             0	             0	
109.929	             0	             0	
110.250	             0	             0	
110.571	             0	             0	
110.893	             0	             0	
111.214	             0	             0	
111.536	             0	             0	
111.857	             0	             0	
112.179	             0	             0	
112.500	             0	             0	
112.821	             0	             0	
113.143	             0	             0	
113.464	             0	             0	
113.786	             0	             0	
114.107	             0	             0	
114.429	             0	             0	
114.750	             0	             0	
115.071	             0	             0	
115.393	             0	             0	
115.714	             0	             0	
116.036	             0	             0	
116.357	             0	             0	
116.679	             0	             0	
117.000	             0	             0	
117.321	             0	             0	
117.643	             0	             0	
117.964	             0	             0	
118.286	             0	             0	
118.607	             0	             0	
118.929	             0	             0	
119.250	             0	             0	
119.571	             0	             0	
119.893	             0	             0	
120.214	             0	             0	
120.536	             0	             0	
120.857	             0	             0	
121.179	             0	             0	
121.500	             0	             0	
121.821	             0	             0	
122.143	             0	             0	
122.464	             0	             0	
122.786	             0	             0	
123.107	             0	             0	
123.429	             0	             0	
123.750	             0	             0	
124.071	             0	             0	
124.393	             0	             0	
124.714	             0	             0	
125.036	             0	             0	
125.357	             0	             0	
125.679	             0	             0	
126.000	             0	             0	
126.321	             0	             0	
126.643	             0	             0	
126.964	             0	             0	
127.286	             0	             0	
127.607	             0	             0	
127.929	             0	             0	
128.250	             0	             0	
128.571	             0	             0	
128.893	             0	             0	
129.214	             0	             0	
129.536	             0	             0	
129.857	             0	             0	
130.179	             0	             0	
130.500	             0	             0	
130.821	             0	             0	
131.143	             0	             0	
131.464	             0	             0	
131.786	             0	             0	
132.107	             0	             0	
132.429	             0	             0	
132.750	             0	             0	
133.071	             0	             0	
133.393	             0	             0	
133.714	             0	             0	
134.036	             0	             0	
134.357	             0	             0	
134.679	             0	             0	
135.000	             0	             0	
135.321	             0	             0	
135.643	             0	             0	
135.964	             0	             0	
136.286	             0	             0	
136.607	             0	             0	
