
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 07:56:38 September 07, 2025

	   0.0	 180.0
0.000	             0	             0	
0.321	             0	             0	
0.643	     0.0921816	             0	
0.964	     0.0921816	             0	
1.286	      0.141817	             0	
1.607	      0.141817	             0	
1.929	             0	       1.52113	
2.250	             0	       1.52113	
2.571	      0.251518	             0	
2.893	      0.251518	             0	
3.214	       1.61169	       1.54099	
3.536	       1.61169	       1.54099	
3.857	       1.61169	       1.54099	
4.179	       2.18539	       1.83371	
4.500	       2.18539	       1.83371	
4.821	      0.825047	       1.25935	
5.143	      0.825047	       1.25935	
5.464	       1.55909	             0	
5.786	       1.55909	             0	
6.107	       4.26846	       6.38164	
6.429	       4.26846	       6.38164	
6.750	       1.09635	       1.10509	
7.071	       1.09635	       1.10509	
7.393	        4.4628	      0.881886	
7.714	        4.4628	      0.881886	
8.036	        4.4628	      0.881886	
8.357	       3.71792	     0.0723434	
8.679	       3.71792	     0.0723434	
9.000	       7.02382	      0.245726	
9.321	       7.02382	      0.245726	
9.643	       4.66755	      0.612087	
9.964	       4.66755	      0.612087	
10.286	       9.66431	     0.0656212	
10.607	       9.66431	     0.0656212	
10.929	       2.84124	      0.810177	
11.250	       2.84124	      0.810177	
11.571	       2.84124	      0.810177	
11.893	       5.89756	       0.88841	
12.214	       5.89756	       0.88841	
12.536	       4.62964	       4.29854	
12.857	       4.62964	       4.29854	
13.179	       6.38708	       2.88267	
13.500	       6.38708	       2.88267	
13.821	       5.48937	       495.572	
14.143	       5.48937	       495.572	
14.464	       3.48624	       1.36346	
14.786	       3.48624	       1.36346	
15.107	       3.48624	       1.36346	
15.429	       8.92969	       3.36756	
15.750	       8.92969	       3.36756	
16.071	       6.71352	       3.21529	
16.393	       6.71352	       3.21529	
16.714	       10.0344	       8.01126	
17.036	       10.0344	       8.01126	
17.357	       8.46522	       6.14854	
17.679	       8.46522	       6.14854	
18.000	       7.70713	       14.0475	
18.321	       7.70713	       14.0475	
18.643	       3.46047	       1.87083	
18.964	       3.46047	       1.87083	
19.286	       3.46047	       1.87083	
19.607	       10.6733	      0.214395	
19.929	       10.6733	      0.214395	
20.250	       5.19397	       2.49471	
20.571	       5.19397	       2.49471	
20.893	       7.08994	       6.46419	
21.214	       7.08994	       6.46419	
21.536	       8.92453	        15.744	
21.857	       8.92453	        15.744	
22.179	        13.454	       11.2261	
22.500	        13.454	       11.2261	
22.821	        13.454	       11.2261	
23.143	       9.04268	        29.435	
23.464	       9.04268	        29.435	
23.786	       5.64898	       10.9616	
24.107	       5.64898	       10.9616	
24.429	       9.56926	       6.37064	
24.750	       9.56926	       6.37064	
25.071	       15.5246	        9.0588	
25.393	       15.5246	        9.0588	
25.714	       9.37746	       5.71498	
26.036	       9.37746	       5.71498	
26.357	       9.37746	       5.71498	
26.679	       4.62919	       20.9777	
27.000	       4.62919	       20.9777	
27.321	       5.01462	       7.41248	
27.643	       5.01462	       7.41248	
27.964	       28.7478	       5.73872	
28.286	       28.7478	       5.73872	
28.607	       7.48034	       3.63521	
28.929	       7.48034	       3.63521	
29.250	       11.2478	       1.19856	
29.571	       11.2478	       1.19856	
29.893	       9.40218	       2.24952	
30.214	       9.40218	       2.24952	
30.536	       9.40218	       2.24952	
30.857	       5.65146	             0	
31.179	       5.65146	             0	
31.500	       6.60691	       5.52446	
31.821	       6.60691	       5.52446	
32.143	       5.67186	       3.59569	
32.464	       5.67186	       3.59569	
32.786	       6.62653	             0	
33.107	       6.62653	             0	
33.429	        3.7932	      0.741273	
33.750	        3.7932	      0.741273	
34.071	        3.7932	      0.741273	
34.393	      0.949394	      0.678775	
34.714	      0.949394	      0.678775	
35.036	       5.70169	      0.276268	
35.357	       5.70169	      0.276268	
35.679	       7.61049	       3.45734	
36.000	       7.61049	       3.45734	
36.321	       2.21214	       2.53881	
36.643	       2.21214	       2.53881	
36.964	       2.85543	       3.35766	
37.286	       2.85543	       3.35766	
37.607	       2.85543	       3.35766	
37.929	       9.57134	       1.62814	
38.250	       9.57134	       1.62814	
38.571	       5.85332	       2.62174	
38.893	       5.85332	       2.62174	
39.214	       15.3596	       0.79305	
39.536	       15.3596	       0.79305	
39.857	       8.60746	             0	
40.179	       8.60746	             0	
40.500	       6.68486	             0	
40.821	       6.68486	             0	
41.143	       6.12586	             0	
41.464	       6.12586	             0	
41.786	       6.12586	             0	
42.107	       7.64107	      0.436425	
42.429	       7.64107	      0.436425	
42.750	       7.75114	      0.468413	
43.071	       7.75114	      0.468413	
43.393	       9.94496	       1.99105	
43.714	       9.94496	       1.99105	
44.036	       2.89028	      0.330486	
44.357	       2.89028	      0.330486	
44.679	       11.5138	       2.81551	
45.000	       11.5138	       2.81551	
45.321	       11.5138	       2.81551	
45.643	       5.72594	      0.158582	
45.964	       5.72594	      0.158582	
46.286	       4.75671	      0.303928	
46.607	       4.75671	      0.303928	
46.929	       190.494	             0	
47.250	       190.494	             0	
47.571	      0.924133	             0	
47.893	      0.924133	             0	
48.214	       1.84285	             0	
48.536	       1.84285	             0	
48.857	       1.84285	             0	
49.179	       1.83086	             0	
49.500	       1.83086	             0	
49.821	      0.975231	      0.251814	
50.143	      0.975231	      0.251814	
50.464	       1.81108	             0	
50.786	       1.81108	             0	
51.107	       1.78708	             0	
51.429	       1.78708	             0	
51.750	      0.890933	             0	
52.071	      0.890933	             0	
52.393	             0	             0	
52.714	             0	             0	
53.036	             0	             0	
53.357	             0	      0.107683	
53.679	             0	      0.107683	
54.000	       0.86411	      0.205484	
54.321	       0.86411	      0.205484	
54.643	             0	             0	
54.964	             0	             0	
55.286	       1.68176	      0.061651	
55.607	       1.68176	      0.061651	
55.929	             0	             0	
56.250	             0	             0	
56.571	             0	             0	
56.893	       1.61917	             0	
57.214	       1.61917	             0	
57.536	             0	             0	
57.857	             0	             0	
58.179	       0.77792	             0	
58.500	       0.77792	             0	
58.821	       1.53231	             0	
59.143	       1.53231	             0	
59.464	             0	     0.0791133	
59.786	             0	     0.0791133	
60.107	             0	     0.0791133	
60.429	       1.67503	       0.15208	
60.750	       1.67503	       0.15208	
61.071	             0	             0	
61.393	             0	             0	
61.714	             0	       0.13954	
62.036	             0	       0.13954	
62.357	             0	      0.137959	
62.679	             0	      0.137959	
63.000	             0	             0	
63.321	             0	             0	
63.643	             0	     0.0640615	
63.964	             0	     0.0640615	
64.286	             0	     0.0640615	
64.607	      0.798629	             0	
64.929	      0.798629	             0	
65.250	       1.30275	      0.175553	
65.571	       1.30275	      0.175553	
65.893	      0.923909	             0	
66.214	      0.923909	             0	
66.536	         1.301	             0	
66.857	         1.301	             0	
67.179	       2.23333	             0	
67.500	       2.23333	             0	
67.821	       2.23333	             0	
68.143	       3.00819	             0	
68.464	       3.00819	             0	
68.786	     0.0787101	             0	
69.107	     0.0787101	             0	
69.429	       7.40927	             0	
69.750	       7.40927	             0	
70.071	       2.99532	             0	
70.393	       2.99532	             0	
70.714	       4.94532	             0	
71.036	       4.94532	             0	
71.357	       4.94532	             0	
71.679	        4.2469	             0	
72.000	        4.2469	             0	
72.321	        2.5678	             0	
72.643	        2.5678	             0	
72.964	       1.29188	             0	
73.286	       1.29188	             0	
73.607	       2.58443	             0	
73.929	       2.58443	             0	
74.250	       2.94037	             0	
74.571	       2.94037	             0	
74.893	        8.6544	      0.087648	
75.214	        8.6544	      0.087648	
75.536	        8.6544	      0.087648	
75.857	       1.69336	             0	
76.179	       1.69336	             0	
76.500	       4.35678	             0	
76.821	       4.35678	             0	
77.143	       5.12392	             0	
77.464	       5.12392	             0	
77.786	       1.84304	             0	
78.107	       1.84304	             0	
78.429	       3.49589	             0	
78.750	       3.49589	             0	
79.071	       3.49589	             0	
79.393	       3.48602	             0	
79.714	       3.48602	             0	
80.036	       3.75212	             0	
80.357	       3.75212	             0	
80.679	       2.68667	             0	
81.000	       2.68667	             0	
81.321	       1.50507	             0	
81.643	       1.50507	             0	
81.964	       3.67263	             0	
82.286	       3.67263	             0	
82.607	       3.67263	             0	
82.929	       4.73297	             0	
83.250	       4.73297	             0	
83.571	       1.95868	             0	
83.893	       1.95868	             0	
84.214	      0.761107	             0	
84.536	      0.761107	             0	
84.857	       0.16475	             0	
85.179	       0.16475	             0	
85.500	      0.217136	             0	
85.821	      0.217136	             0	
86.143	      0.520548	             0	
86.464	      0.520548	             0	
86.786	      0.520548	             0	
87.107	      0.112517	             0	
87.429	      0.112517	             0	
87.750	      0.321449	             0	
88.071	      0.321449	             0	
88.393	     0.0505331	             0	
88.714	     0.0505331	             0	
89.036	             0	             0	
89.357	             0	             0	
89.679	             0	             0	
90.000	             0	             0	
90.321	             0	             0	
90.643	             0	             0	
90.964	             0	             0	
91.286	             0	             0	
91.607	             0	             0	
91.929	             0	             0	
92.250	             0	             0	
92.571	             0	             0	
92.893	             0	             0	
93.214	             0	             0	
93.536	             0	             0	
93.857	             0	             0	
94.179	             0	             0	
94.500	             0	             0	
94.821	             0	             0	
95.143	             0	             0	
95.464	             0	             0	
95.786	             0	             0	
96.107	             0	             0	
96.429	             0	             0	
96.750	             0	             0	
97.071	             0	             0	
97.393	             0	             0	
97.714	             0	             0	
98.036	             0	             0	
98.357	             0	             0	
98.679	             0	             0	
99.000	             0	             0	
99.321	             0	             0	
99.643	             0	             0	
99.964	             0	             0	
100.286	             0	             0	
100.607	             0	             0	
100.929	             0	             0	
