generation,role,parent1_idx,parent2_idx,fitness,efficiency,process_score,S2,S3,A3,sigma1,sigma2,sigma3,eff_10,eff_20,eff_30,eff_40,eff_50,eff_60,eff_70,eff_80
1,parent_old,-1,-1,3.2169,3.2169,0.9383,0.8808,0.8720,57.7485,0.045000,0.045000,9.000000,0.3502,0.2403,0.0367,0.0013,0.4816,0.8256,0.9157,0.3656
1,parent_old,-1,-1,2.6695,2.6695,0.9065,0.6885,0.7718,64.2148,0.045000,0.045000,9.000000,0.4521,0.3111,0.0725,0.0242,0.0328,0.1171,0.7688,0.8908
1,parent_old,-1,-1,2.6033,2.6033,0.9235,0.7266,0.6559,46.4172,0.045000,0.045000,9.000000,0.4261,0.2117,0.0918,0.2640,0.3551,0.9243,0.1110,0.2193
1,parent_old,-1,-1,3.1280,3.1280,0.9363,0.6677,0.8078,33.9218,0.045000,0.045000,9.000000,0.7376,0.5095,0.1643,0.0221,0.1264,0.0227,0.7653,0.7802
1,parent_old,-1,-1,2.4512,2.4512,0.9120,0.7347,0.7427,55.8272,0.045000,0.045000,9.000000,0.5289,0.2048,0.1899,0.0360,0.3786,0.2897,0.0026,0.8208
1,parent_old,-1,-1,2.2043,2.2043,0.9469,0.6896,0.8399,60.3801,0.045000,0.045000,9.000000,0.3721,0.1733,0.3336,0.4070,0.5605,0.1369,0.0797,0.1411
1,parent_old,-1,-1,2.2354,2.2354,0.9046,0.8494,0.7254,38.7862,0.045000,0.045000,9.000000,0.7224,0.4316,0.0719,0.0130,0.0011,0.0305,0.0099,0.9550
1,parent_old,-1,-1,2.3099,2.3099,0.9628,0.8949,0.8857,84.3476,0.045000,0.045000,9.000000,0.3973,0.2025,0.1241,0.5069,0.8094,0.1146,0.1182,0.0367
1,parent_old,-1,-1,1.8943,1.8943,0.8922,0.8691,0.8137,34.8941,0.045000,0.045000,9.000000,0.4087,0.1713,0.1211,0.0138,0.0090,0.3103,0.0169,0.8432
1,child,3,8,1.7054,1.7054,0.9610,0.8462,0.7638,30.0000,0.069004,0.046642,15.960326,0.1542,0.2354,0.3268,0.5158,0.2926,0.0571,0.0691,0.0544
1,child,0,7,2.5854,2.5854,0.9368,0.8865,0.8207,56.5196,0.046477,0.055100,8.688822,0.1909,0.1817,0.0106,0.2138,0.5756,0.8405,0.2636,0.3087
1,child,6,3,3.6763,3.6763,0.9435,0.7787,0.7780,38.5501,0.020541,0.029873,4.382578,0.4617,0.2046,0.0560,0.3072,0.8988,0.9218,0.3295,0.4968
1,child,1,5,2.3222,2.3222,0.9107,0.6591,0.8048,57.9224,0.047763,0.012820,10.985901,0.4234,0.2628,0.1502,0.0250,0.3274,0.3333,0.0000,0.8001
1,child,8,7,2.3790,2.3790,0.9535,0.8877,0.8005,42.6468,0.050126,0.077090,17.774736,0.3928,0.1866,0.2231,0.3974,0.6302,0.2479,0.0794,0.2216
1,child,1,7,2.3217,2.3217,0.9017,0.7544,0.9000,77.0166,0.040296,0.092738,7.094747,0.2767,0.3367,0.1600,0.0869,0.0346,0.4109,0.1158,0.9003
1,child,4,7,2.8709,2.8709,0.9358,0.7502,0.9000,47.7978,0.103389,0.193617,34.902438,0.3968,0.2907,0.3620,0.0183,0.3454,0.1245,0.8127,0.5205
1,child,9,7,2.4458,2.4458,0.8986,0.7004,0.8292,74.1687,0.044978,0.028861,9.987724,0.5162,0.3170,0.2494,0.0734,0.0086,0.2904,0.1303,0.8605
1,child,1,3,3.6097,3.6097,0.9263,0.6791,0.7156,41.8659,0.046316,0.050658,6.551363,0.4308,0.2389,0.0505,0.0019,0.7826,0.8498,0.9114,0.3438
1,child,6,1,3.1504,3.1504,0.9156,0.7450,0.7232,58.4682,0.030606,0.069471,14.678170,0.4364,0.2373,0.0824,0.0004,0.3182,0.7217,0.9017,0.4523
1,child,6,1,2.2447,2.2447,0.9300,0.8694,0.7434,56.0217,0.047654,0.020656,10.249787,0.2735,0.1567,0.0320,0.1841,0.4757,0.7808,0.1515,0.1904
1,child,9,2,3.5566,3.5566,0.9152,0.7214,0.7196,56.8668,0.040576,0.041628,15.102916,0.4791,0.1407,0.0923,0.0041,0.4204,0.7859,0.9037,0.7305
1,child,6,2,2.5336,2.5336,0.8984,0.6801,0.6000,69.0214,0.062358,0.083021,34.111476,0.3758,0.1475,0.0840,0.0016,0.0006,0.7161,0.7946,0.4133
1,child,2,3,2.6248,2.6248,0.9306,0.7134,0.6849,39.4302,0.051410,0.092267,4.561620,0.3071,0.2198,0.0787,0.2444,0.5252,0.8774,0.2459,0.1264
1,child,5,7,2.4341,2.4341,0.8973,0.9000,0.8765,90.0000,0.147003,0.154576,16.289326,0.9464,0.3285,0.1520,0.0170,0.0002,0.1252,0.0009,0.8638
1,child,6,9,2.8035,2.8035,0.9226,0.7838,0.7233,54.8691,0.021572,0.026072,5.676295,0.2199,0.2497,0.0230,0.1404,0.4209,0.9273,0.4034,0.4191
1,child,3,6,2.7978,2.7978,0.9474,0.7705,0.7579,33.1094,0.037880,0.039730,3.756061,0.4021,0.2110,0.1728,0.3672,0.7747,0.5251,0.2062,0.1387
1,child,5,3,1.9662,1.9662,0.8998,0.6132,0.8478,64.9277,0.043317,0.031184,13.757393,0.4705,0.3043,0.2014,0.2424,0.1642,0.5378,0.0451,0.0005
1,child,2,8,1.7217,1.7217,0.9404,0.8725,0.7049,44.7410,0.043541,0.016373,4.418551,0.3696,0.0888,0.2297,0.2329,0.5539,0.1485,0.0153,0.0829
1,child,2,8,2.2556,2.2556,0.9433,0.8315,0.7153,39.6283,0.072731,0.023206,1.538895,0.3708,0.1024,0.2334,0.5403,0.6218,0.1557,0.0844,0.1468
1,child,9,1,2.5675,2.5675,0.9206,0.8136,0.6860,57.1643,0.135665,0.043192,18.524111,0.3322,0.1421,0.0095,0.3469,0.4269,0.7029,0.3423,0.2646
1,child,3,6,3.3624,3.3624,0.9232,0.8134,0.7988,60.1894,0.046256,0.078541,16.924032,0.4163,0.1892,0.0660,0.0028,0.3503,0.7708,0.9042,0.6628
1,child,2,8,1.9361,1.9361,0.8923,0.7339,0.7610,81.7810,0.137496,0.053096,31.261769,0.4397,0.1904,0.1490,0.0107,0.0123,0.2894,0.0356,0.8090
1,child,8,7,2.6961,2.6961,0.9182,0.9000,0.8515,73.2156,0.055625,0.055344,11.979898,0.3840,0.1651,0.0600,0.0000,0.0004,0.6918,0.9053,0.4896
1,child,3,7,2.7875,2.7875,0.9298,0.8272,0.9000,60.5071,0.049104,0.074680,8.363069,0.2769,0.3052,0.1061,0.0018,0.0396,0.7892,0.8736,0.3951
1,child,7,4,3.4719,3.4719,0.9482,0.8408,0.9000,61.9850,0.061468,0.084073,12.697817,0.3746,0.2286,0.0825,0.3078,0.8747,0.9150,0.5025,0.1862
1,child,4,6,2.6909,2.6909,0.9268,0.7599,0.7719,32.1516,0.050475,0.094114,20.878577,0.4233,0.2223,0.0148,0.1683,0.4382,0.8202,0.2865,0.3174
1,child,0,2,2.1786,2.1786,0.9180,0.7744,0.7177,49.8673,0.056068,0.078353,6.981203,0.4386,0.2216,0.2657,0.1144,0.3062,0.0774,0.0020,0.7528
1,child,5,0,2.7368,2.7368,0.9134,0.6957,0.9000,56.8991,0.032521,0.071654,4.402693,0.3249,0.2124,0.0522,0.0027,0.1756,0.7564,0.9473,0.2653
1,child,2,9,2.4720,2.4720,0.9021,0.7798,0.7063,62.6304,0.039234,0.085618,6.123850,0.4509,0.2962,0.1396,0.0139,0.0054,0.6174,0.0306,0.9180
1,child,7,5,2.5998,2.5998,0.9222,0.7723,0.8503,77.0012,0.010525,0.009963,11.075238,0.4067,0.2246,0.0266,0.1107,0.3031,0.6902,0.4828,0.3551
1,child,7,4,2.6923,2.6923,0.9149,0.8107,0.7178,57.0132,0.038607,0.042247,6.500945,0.3627,0.3093,0.1360,0.0015,0.0102,0.5539,0.9154,0.4034
1,child,0,6,3.1397,3.1397,0.9211,0.7490,0.7689,61.0386,0.088305,0.032497,11.767127,0.5557,0.2778,0.1195,0.0027,0.1383,0.7295,0.8914,0.4247
1,child,8,1,1.9784,1.9784,0.9399,0.7434,0.8185,56.6242,0.044360,0.059569,6.509113,0.3485,0.1541,0.1072,0.2831,0.6092,0.1497,0.0706,0.2561
