s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
0.4000,0.4000,100.0000,23498.6490,65736.7706,1256.9821,0.0000,0.0000,0.0000,0.0000,52,offspring,0,8
1.0000,0.4000,100.0000,9835.5271,24766.3567,1058.7735,0.0000,0.0000,0.0000,0.0000,52,offspring,0,6
1.0000,0.4000,50.0000,16943.8133,47065.9174,2537.6941,0.0000,0.0000,0.0000,0.0000,52,offspring,0,3
0.4000,0.4000,82.5825,19335.5855,20962.9420,394.1269,0.0000,0.0000,0.0000,0.0000,52,offspring,7,6
0.4000,0.4000,94.8268,2451.6306,6493.9366,193.5039,0.0000,0.0000,0.0000,0.0000,52,offspring,4,8
0.4000,0.4000,50.0000,32775.6014,18071.7820,1100.6386,0.0000,0.0000,0.0000,0.0000,52,offspring,5,0
1.0000,1.0000,50.0000,32596.3038,84643.4719,2462.3634,0.0000,0.0000,0.0000,0.0000,52,offspring,3,2
1.0000,0.4000,100.0000,4856.6319,36755.3242,1229.7330,0.0000,0.0000,0.0000,0.0000,52,offspring,9,6
1.0000,1.0000,67.0787,4866.5805,13341.4491,2110.2184,0.0000,0.0000,0.0000,0.0000,52,offspring,6,3
1.0000,0.4000,100.0000,1242.5329,5602.8304,288.0064,0.0000,0.0000,0.0000,0.0000,52,offspring,4,8
1.0000,1.0000,50.0000,14781.8743,17815.9269,2180.0242,0.0000,0.0000,0.0000,0.0000,52,offspring,1,3
0.4000,0.4000,100.0000,13418.1948,65950.5252,2756.7956,0.0000,0.0000,0.0000,0.0000,52,offspring,6,3
1.0000,0.4000,50.0000,10126.5456,121093.0822,361.6013,0.0000,0.0000,0.0000,0.0000,52,offspring,4,7
0.4000,0.4000,50.0000,11487.7006,68812.6676,638.2049,0.0000,0.0000,0.0000,0.0000,52,offspring,8,2
0.4000,0.4000,100.0000,10970.6528,38709.9587,1007.1761,0.0000,0.0000,0.0000,0.0000,52,offspring,3,8
1.0000,1.0000,50.0000,5334.0954,5948.4117,1047.3093,0.0000,0.0000,0.0000,0.0000,52,offspring,1,8
1.0000,1.0000,50.0000,19569.1981,14741.1350,286.3992,0.0000,0.0000,0.0000,0.0000,52,offspring,2,1
0.4000,0.4000,50.0000,17503.3214,100117.6545,3806.9629,0.0000,0.0000,0.0000,0.0000,52,offspring,3,5
1.0000,0.4000,50.0000,14757.0921,13200.0350,251.2913,0.0000,0.0000,0.0000,0.0000,52,offspring,2,7
1.0000,1.0000,50.0000,8161.1537,11050.3960,888.6241,0.0000,0.0000,0.0000,0.0000,52,offspring,4,6
0.4000,0.4000,96.3858,26510.1431,32733.3954,1440.3698,0.0000,0.0000,0.0000,0.0000,52,offspring,2,3
1.0000,1.0000,100.0000,6124.9959,11053.2103,120.3393,0.0000,0.0000,0.0000,0.0000,52,offspring,0,4
0.4000,0.4000,50.0000,8642.0330,47884.3227,882.1041,0.0000,0.0000,0.0000,0.0000,52,offspring,6,9
0.4000,0.4000,50.0000,31986.1096,39278.6444,5835.5234,0.0000,0.0000,0.0000,0.0000,52,offspring,0,3
1.0000,1.0000,67.2866,7501.8524,23286.8600,518.3148,0.0000,0.0000,0.0000,0.0000,52,offspring,0,4
1.0000,1.0000,100.0000,15474.2785,13325.2111,1224.3850,0.0000,0.0000,0.0000,0.0000,52,offspring,6,7
1.0000,0.4000,50.0000,3246.0013,24471.5261,2064.9149,0.0000,0.0000,0.0000,0.0000,52,offspring,1,3
0.4000,0.4000,50.0000,8538.9731,77973.2423,1729.4006,0.0000,0.0000,0.0000,0.0000,52,offspring,9,5
1.0000,1.0000,50.0000,5944.1262,19327.3471,1435.4211,0.0000,0.0000,0.0000,0.0000,52,offspring,2,3
1.0000,0.4000,52.9065,4208.6161,8266.4927,237.6013,0.0000,0.0000,0.0000,0.0000,52,offspring,1,8
1.0000,0.4000,80.7757,15282.0639,33018.4498,181.7711,0.0000,0.0000,0.0000,0.0000,52,offspring,8,7
0.4000,0.4000,78.2435,10008.2441,6235.7350,482.1579,0.0000,0.0000,0.0000,0.0000,52,offspring,1,5
1.0000,0.4000,100.0000,3260.2194,24633.1194,510.5479,0.0000,0.0000,0.0000,0.0000,52,offspring,4,2
0.4000,0.4000,100.0000,2865.8630,12595.5461,383.0741,0.0000,0.0000,0.0000,0.0000,52,offspring,4,8
1.0000,0.4000,100.0000,7612.9571,26892.5082,2520.5434,0.0000,0.0000,0.0000,0.0000,52,offspring,1,2
1.0000,1.0000,50.0000,2511.4744,7453.5824,1189.5804,0.0000,0.0000,0.0000,0.0000,52,offspring,9,1
0.4000,0.4000,50.0000,16114.6861,58514.8662,8521.9137,0.0000,0.0000,0.0000,0.0000,52,offspring,3,9
1.0000,0.4000,50.0000,7366.2119,9972.7796,1469.5852,0.0000,0.0000,0.0000,0.0000,52,offspring,6,5
